id,title,category,price,rating,stock
1,Essence Mascara Lash Princess,beauty,9.99,2.56,99
2,Eyeshadow Palette with Mirror,beauty,19.99,2.86,34
3,Powder Canister,beauty,14.99,4.64,89
4,Red Lipstick,beauty,12.99,4.36,91
5,Red Nail Polish,beauty,8.99,4.32,79
6,Calvin Klein CK One,fragrances,49.99,4.37,29
7,Chanel Coco Noir Eau De,fragrances,129.99,4.26,58
8,Dior J'adore,fragrances,89.99,3.8,98
9,Dolce Shine Eau de,fragrances,69.99,3.96,4
10,Gucci Bloom Eau de,fragrances,79.99,2.74,91
11,Annibale Colombo Bed,furniture,1899.99,4.77,88
12,Annibale Colombo Sofa,furniture,2499.99,3.92,60
13,Bedside Table African Cherry,furniture,299.99,2.87,64
14,Knoll Saarinen Executive Conference Chair,furniture,499.99,4.88,26
15,Wooden Bathroom Sink With Mirror,furniture,799.99,3.59,7
16,Apple,groceries,1.99,4.19,8
17,Beef Steak,groceries,12.99,4.47,86
18,Cat Food,groceries,8.99,3.13,46
19,Chicken Meat,groceries,9.99,3.19,97
20,Cooking Oil,groceries,4.99,4.8,10
21,Cucumber,groceries,1.49,4.07,84
22,Dog Food,groceries,10.99,4.55,71
23,Eggs,groceries,2.99,2.53,9
24,Fish Steak,groceries,14.99,3.78,74
25,Green Bell Pepper,groceries,1.29,3.25,33
26,Green Chili Pepper,groceries,0.99,3.66,3
27,Honey Jar,groceries,6.99,3.97,34
28,Ice Cream,groceries,5.49,3.39,27
29,Juice,groceries,3.99,3.94,50
30,Kiwi,groceries,2.49,4.93,99
